case_number,plot,focal_node,focal_area_id,school_id,centroid_node,centroid_area_id,distance_to_centroid_miles,plot_radius_miles,closer_candidate_count
107,case_0107_block_60750126022015_school_750.png,630,60750126022015,750,5849,60750353001001,5.393660121522051,,0
108,case_0108_block_60750126022015_school_782.png,630,60750126022015,782,5427,60750329011006,5.226785760876114,,0
109,case_0109_block_60750126022015_school_786.png,630,60750126022015,786,1171,60750159001003,1.4481779063072608,,0
110,case_0110_block_60750126022015_school_790.png,630,60750126022015,790,344,60750111003002,1.1147324662617817,,0
111,case_0111_block_60750126022015_school_801.png,630,60750126022015,801,101,60750103001013,0.6051893581298647,,0
112,case_0112_block_60750126022015_school_816.png,630,60750126022015,816,1974,60750203002001,2.813437252439845,,0
113,case_0113_block_60750126022015_school_820.png,630,60750126022015,820,5240,60750314004002,6.4665098395560205,,0
114,case_0114_block_60750126022015_school_823.png,630,60750126022015,823,757,60750130001002,0.4582217344214259,,0
115,case_0115_block_60750126022015_school_830.png,630,60750126022015,830,2905,60750231031006,5.370246940232678,,0
116,case_0116_block_60750126022015_school_834.png,630,60750126022015,834,317,60750110002005,0.8600154097938202,,0
117,case_0117_block_60750126022015_school_838.png,630,60750126022015,838,6848,60750614001002,3.865305849512288,,0
118,case_0118_block_60750126022015_school_842.png,630,60750126022015,842,5035,60750311004007,5.230547500393488,,0
119,case_0119_block_60750126022015_school_859.png,630,60750126022015,859,537,60750124022001,1.6128391322926166,,0
120,case_0120_block_60750126022015_school_862.png,630,60750126022015,862,5874,60750353003005,6.045660790177779,,0
121,case_0121_block_60750126022015_school_867.png,630,60750126022015,867,4141,60750264012005,6.421147546926892,,0
122,case_0122_block_60750126022015_school_872.png,630,60750126022015,872,206,60750106002000,1.402111601904838,,0
123,case_0123_block_60750126022015_school_876.png,630,60750126022015,876,4672,60750308001002,4.6894667089204125,,0
124,case_0124_block_60750126022015_school_999.png,630,60750126022015,999,6635,60750607001031,2.9164739952528964,,0
125,case_0125_block_60750126022016_school_490.png,631,60750126022016,490,375,60750113002001,1.1937927933201862,,0
126,case_0126_block_60750126022016_school_638.png,631,60750126022016,638,238,60750107002003,0.9551850480865672,,0
127,case_0127_block_60750154003001_school_453.png,995,60750154003001,453,3058,60750234002018,5.456606635816176,,0
128,case_0128_block_60750154003001_school_456.png,995,60750154003001,456,2776,60750229032009,3.1503636466057885,,0
129,case_0129_block_60750154003001_school_497.png,995,60750154003001,497,2594,60750227022009,3.13508907916889,,0
130,case_0130_block_60750154003001_school_507.png,995,60750154003001,507,2868,60750230032002,4.521263476481011,,0
131,case_0131_block_60750154003001_school_513.png,995,60750154003001,513,3650,60750257023005,4.364565747666925,,0
132,case_0132_block_60750154003001_school_521.png,995,60750154003001,521,7117,60759805011010,4.919260995870133,,0
133,case_0133_block_60750154003001_school_603.png,995,60750154003001,603,2712,60750228031005,2.564803051785693,,0
134,case_0134_block_60750154003001_school_614.png,995,60750154003001,614,3501,60750256002003,4.028533891349757,,0
135,case_0135_block_60750154003001_school_625.png,995,60750154003001,625,2895,60750231022004,4.880664580585224,,0
136,case_0136_block_60750154003001_school_650.png,995,60750154003001,650,1417,60750168022001,1.1484117047062707,,0
137,case_0137_block_60750154003001_school_656.png,995,60750154003001,656,3265,60750254013000,3.402726921567844,,0
138,case_0138_block_60750154003001_school_680.png,995,60750154003001,680,3150,60750252001002,3.0255414215676093,,0
139,case_0139_block_60750154003001_school_718.png,995,60750154003001,718,1450,60750170001006,1.2044954400909158,,0
140,case_0140_block_60750154003001_school_723.png,995,60750154003001,723,2707,60750228031000,2.554887494115571,,0
141,case_0141_block_60750154003001_school_786.png,995,60750154003001,786,1171,60750159001003,0.9261098179752724,,0
142,case_0142_block_60750154003001_school_790.png,995,60750154003001,790,344,60750111003002,1.5288311352847952,,0
143,case_0143_block_60750154003001_school_816.png,995,60750154003001,816,1974,60750203002001,1.5854240788946805,,0
144,case_0144_block_60750154003001_school_830.png,995,60750154003001,830,2905,60750231031006,4.791759685628771,,0
145,case_0145_block_60750154003001_school_838.png,995,60750154003001,838,6848,60750614001002,3.27855268468962,,0
146,case_0146_block_60750154003001_school_859.png,995,60750154003001,859,537,60750124022001,1.445754028131436,,0
147,case_0147_block_60750154003001_school_867.png,995,60750154003001,867,4141,60750264012005,5.236252868761219,,0
148,case_0148_block_60750154003001_school_999.png,995,60750154003001,999,6635,60750607001031,2.915542408972496,,0
149,case_0149_block_60750157003007_school_453.png,1101,60750157003007,453,3058,60750234002018,5.393961855376321,,0
150,case_0150_block_60750157003007_school_456.png,1101,60750157003007,456,2776,60750229032009,3.1299118579202414,,0
151,case_0151_block_60750157003007_school_507.png,1101,60750157003007,507,2868,60750230032002,4.474957255570764,,0
152,case_0152_block_60750157003007_school_513.png,1101,60750157003007,513,3650,60750257023005,4.282219814788315,,0
153,case_0153_block_60750157003007_school_603.png,1101,60750157003007,603,2712,60750228031005,2.532141521587324,,0
154,case_0154_block_60750157003007_school_625.png,1101,60750157003007,625,2895,60750231022004,4.8508483609945925,,0
155,case_0155_block_60750157003007_school_680.png,1101,60750157003007,680,3150,60750252001002,2.9750740146169505,,0
156,case_0156_block_60750157003007_school_718.png,1101,60750157003007,718,1450,60750170001006,1.12417509787579,,0
157,case_0157_block_60750157003007_school_723.png,1101,60750157003007,723,2707,60750228031000,2.535879430309983,,0
158,case_0158_block_60750157003007_school_816.png,1101,60750157003007,816,1974,60750203002001,1.5313804767177688,,0
159,case_0159_block_60750157003007_school_830.png,1101,60750157003007,830,2905,60750231031006,4.77635443330425,,0
160,case_0160_block_60750157003007_school_838.png,1101,60750157003007,838,6848,60750614001002,3.281156664463889,,0
161,case_0161_block_60750159001007_school_490.png,1175,60750159001007,490,375,60750113002001,1.2781060053478348,,0
162,case_0162_block_60750159001007_school_497.png,1175,60750159001007,497,2594,60750227022009,2.3926919461373712,,0
163,case_0163_block_60750159001007_school_562.png,1175,60750159001007,562,142,60750104003012,1.7012143340095716,,0
164,case_0164_block_60750159001007_school_638.png,1175,60750159001007,638,238,60750107002003,1.3300220034244656,,0
